,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
159,Hauru no ugoku shiro,2004,119,8.2,82,4.71,"4,18,993","When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
160,Finding Nemo,2003,100,8.2,90,380.84,"10,76,596","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
161,L.A. Confidential,1997,138,8.2,91,64.62,"5,97,783","As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice."
162,V for Vendetta,2005,132,8.2,62,70.51,"11,48,235","In a future British dystopian society, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow the tyrannical government - with the help of a young woman."
163,The Father,I 2020,97,8.2,88,132,"1,73,861","A man refuses all assistance from his daughter as he ages. As he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality."
164,Der Untergang,2004,156,8.2,82,5.51,"3,64,966","Traudl Junge, the final secretary for Adolf Hitler, tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII."
165,Pan's Labyrinth,2006,118,8.2,98,37.63,"6,85,345","In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world."
166,Chinatown,1974,130,8.2,92,157,"3,37,525","A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder."
167,Gone with the Wind,1939,238,8.2,97,198.68,"3,24,841",A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
168,Unforgiven,1992,130,8.2,85,101.16,"4,24,008","Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid."""
169,Monty Python and the Holy Grail,1975,91,8.2,91,1.23,"5,55,708","King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles."
170,The Great Escape,1963,172,8.2,86,12.1,"2,51,447",Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.
171,The Elephant Man,1980,124,8.2,78,156,"2,50,169","A Victorian surgeon rescues a heavily disfigured man who is mistreated while scraping a living as a side-show freak. Behind his monstrous façade, there is revealed a person of kindness, intelligence and sophistication."
172,Some Like It Hot,1959,121,8.2,98,25,"2,75,260","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
173,Per qualche dollaro in più,1965,132,8.2,74,15,"2,65,277",Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.
174,El secreto de sus ojos,2009,129,8.2,80,6.39,"2,15,764",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.
175,Ran,1985,162,8.2,97,4.14,"1,30,734","In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him."
176,Tumbbad,2018,104,8.2,,,"54,234",A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.
177,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,8.2,72,47.7,"66,551","After his family was brutally murdered and his sister turned into a demon, Tanjiro Kamado's journey as a demon slayer began. Tanjiro and his comrades embark on a new mission aboard the Mugen Train, on track to despair."
178,Dial M for Murder,1954,105,8.2,75,0.01,"1,82,353",A former tennis star arranges the murder of his adulterous wife.
179,Drishyam 2,2022,140,8.2,,,"39,024",A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?
180,Klaus,2019,96,8.2,65,177,"1,69,477","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions."
181,To Be or Not to Be,1942,99,8.2,86,231,"40,338","During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy."
182,All About Eve,1950,138,8.2,98,0.01,"1,35,047",A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
183,Gangs of Wasseypur,2012,321,8.2,89,,"1,00,060","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
184,Rashômon,1950,88,8.2,98,0.1,"1,74,325","The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
185,Le salaire de la peur,1953,131,8.2,85,196,"63,827","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe."
186,Tôkyô monogatari,1953,136,8.2,100,208,"64,996","An old couple visit their children and grandchildren in the city, but receive little attention."
187,Miracle in Cell No. 7,2019,132,8.2,,,"52,462",A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).
188,Yôjinbô,1961,110,8.2,93,148,"1,27,057",A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.
189,Drishyam,2015,163,8.2,,0.74,"89,690","Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
190,Z,1969,127,8.2,86,0.08,"30,273",The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.
191,Zindagi Na Milegi Dobara,2011,155,8.2,,3.11,"82,331",Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.
192,Bacheha-Ye aseman,1997,89,8.2,77,0.93,"77,610","After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair."
193,The Treasure of the Sierra Madre,1948,126,8.2,98,5.01,"1,29,010",Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
194,Andhadhun,2018,139,8.2,,1.37,"98,180","A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of."
195,Pather Panchali,1955,125,8.2,,0.54,"35,764","Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work."
196,"Swades: We, the People",2004,210,8.2,,1.22,"94,253",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
197,K.G.F: Chapter 1,2018,156,8.2,,,"92,842","In the 1970s, a gangster named Rocky goes undercover as a slave to assassinate the owner of a notorious gold mine known as the K.G.F."
198,Baahubali 2: The Conclusion,2017,167,8.2,,20.19,"1,08,380","Amarendra Baahubali, the heir apparent to the throne of Mahishmati, finds his life and relationships endangered as his adoptive brother Bhallaladeva conspires to claim the throne."
199,La passion de Jeanne d'Arc,1928,110,8.2,98,0.02,"57,981","In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
200,Dersu Uzala,1975,142,8.2,,,"32,234",The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.
201,Babam ve Oglum,2005,112,8.2,,233,"89,109",The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.
202,Sherlock Jr.,1924,45,8.2,,0.98,"53,380","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch."
203,Rangasthalam,2018,170,8.2,,3.51,"26,427",Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.
204,Uri: The Surgical Strike,2019,138,8.2,,4.19,"68,515","Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group."
205,Umberto D.,1952,89,8.2,92,0.07,"27,087",An elderly man and his dog struggle to survive on his government pension in Rome.
206,Vikram Vedha,2017,147,8.2,,,"48,347","Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict."
207,Bhaag Milkha Bhaag,2013,186,8.2,,1.63,"70,260","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition."
208,Paan Singh Tomar,2012,135,8.2,,0.04,"37,210","The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement."
209,Guardians of the Galaxy Vol. 3,2023,150,8.1,64,,"2,42,729","Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
